Date,Open,High,Low,Close,Adj Close,Volume,Sector,Ticker
2023-01-03,48.4900016784668,48.849998474121094,47.33000183105469,47.529998779296875,47.529998779296875,30069,Agriculture,JO
2023-01-04,46.630001068115234,46.630001068115234,45.625,45.849998474121094,45.849998474121094,38112,Agriculture,JO
2023-01-05,45.769100189208984,46.310001373291016,45.63999938964844,45.660301208496094,45.660301208496094,37678,Agriculture,JO
2023-01-06,45.91999816894531,46.02360153198242,45.2599983215332,45.31439971923828,45.31439971923828,45906,Agriculture,JO
2023-01-09,45.75,45.95000076293945,44.59000015258789,44.68000030517578,44.68000030517578,57956,Agriculture,JO
2023-01-10,44.540000915527344,44.657798767089844,42.650001525878906,42.880001068115234,42.880001068115234,137422,Agriculture,JO
2023-01-11,41.61000061035156,41.61000061035156,40.75,41.08000183105469,41.08000183105469,194577,Agriculture,JO
2023-01-12,41.59000015258789,43.099998474121094,41.400001525878906,42.959999084472656,42.959999084472656,58022,Agriculture,JO
2023-01-13,42.400001525878906,43.540000915527344,42.0099983215332,43.310001373291016,43.310001373291016,34989,Agriculture,JO
2023-01-17,42.939998626708984,43.52000045776367,42.77000045776367,43.220001220703125,43.220001220703125,172220,Agriculture,JO
2023-01-18,43.900001525878906,44.650001525878906,43.900001525878906,44.13999938964844,44.13999938964844,35143,Agriculture,JO
2023-01-19,44.9900016784668,44.9900016784668,44.130001068115234,44.45880126953125,44.45880126953125,43001,Agriculture,JO
2023-01-20,43.90999984741211,44.43470001220703,43.690101623535156,44.27000045776367,44.27000045776367,74997,Agriculture,JO
2023-01-23,44.90999984741211,45.767601013183594,44.90999984741211,45.529998779296875,45.529998779296875,39824,Agriculture,JO
2023-01-24,45.369998931884766,46.109901428222656,45.369998931884766,45.91999816894531,45.91999816894531,29602,Agriculture,JO
2023-01-25,46.209999084472656,46.75,46.0531005859375,46.75,46.75,25810,Agriculture,JO
2023-01-26,47.2400016784668,48.02000045776367,47.2400016784668,47.88999938964844,47.88999938964844,35967,Agriculture,JO
2023-01-27,48.130001068115234,48.70000076293945,48.11000061035156,48.439998626708984,48.439998626708984,34415,Agriculture,JO
2023-01-30,49.099998474121094,49.13999938964844,48.650001525878906,49.0099983215332,49.0099983215332,48133,Agriculture,JO
2023-01-31,49.5,52.29999923706055,49.5,52.150001525878906,52.150001525878906,119137,Agriculture,JO
2023-02-01,52.0,52.0,50.400001525878906,51.099998474121094,51.099998474121094,61308,Agriculture,JO
2023-02-02,51.20000076293945,51.75,50.68000030517578,51.119998931884766,51.119998931884766,34487,Agriculture,JO
2023-02-03,50.369998931884766,50.369998931884766,49.364498138427734,49.7400016784668,49.7400016784668,75987,Agriculture,JO
2023-02-06,49.95000076293945,50.888999938964844,49.2400016784668,50.83000183105469,50.83000183105469,35273,Agriculture,JO
2023-02-07,50.83000183105469,51.04999923706055,49.88999938964844,51.04999923706055,51.04999923706055,24277,Agriculture,JO
2023-02-08,50.61000061035156,50.630001068115234,50.040000915527344,50.459999084472656,50.459999084472656,45442,Agriculture,JO
2023-02-09,49.9900016784668,50.130001068115234,49.540000915527344,50.03200149536133,50.03200149536133,15491,Agriculture,JO
2023-02-10,50.16999816894531,50.65019989013672,50.08000183105469,50.23500061035156,50.23500061035156,8723,Agriculture,JO
2023-02-13,50.779998779296875,51.119998931884766,50.27000045776367,50.81999969482422,50.81999969482422,19920,Agriculture,JO
