Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,200.49000549316406,201.02999877929688,198.58999633789062,201.02000427246094,175.9101104736328,222353500
2016-01-05,201.39999389648438,201.89999389648438,200.0500030517578,201.36000061035156,176.2076873779297,110845800
2016-01-06,198.33999633789062,200.05999755859375,197.60000610351562,198.82000732421875,173.98489379882812,152112600
2016-01-07,195.3300018310547,197.44000244140625,193.58999633789062,194.0500030517578,169.8107452392578,213436100
2016-01-08,195.19000244140625,195.85000610351562,191.5800018310547,191.9199981689453,167.94679260253906,209817200
2016-01-11,193.00999450683594,193.41000366210938,189.82000732421875,192.11000061035156,168.11306762695312,187941300
2016-01-12,193.82000732421875,194.5500030517578,191.13999938964844,193.66000366210938,169.46945190429688,172330500
2016-01-13,194.4499969482422,194.86000061035156,188.3800048828125,188.8300018310547,165.24276733398438,221168900
2016-01-14,189.5500030517578,193.25999450683594,187.66000366210938,191.92999267578125,167.95555114746094,240795600
2016-01-15,186.77000427246094,188.75999450683594,185.52000427246094,187.80999755859375,164.35018920898438,324846400
2016-01-19,189.9600067138672,190.11000061035156,186.1999969482422,188.05999755859375,164.56898498535156,195244400
2016-01-20,185.02999877929688,187.5,181.02000427246094,185.64999389648438,162.4600372314453,286547800
2016-01-21,186.2100067138672,188.8699951171875,184.63999938964844,186.69000244140625,163.37010192871094,195772900
2016-01-22,189.77999877929688,190.75999450683594,188.8800048828125,190.52000427246094,166.72171020507812,168319600
2016-01-25,189.9199981689453,190.14999389648438,187.41000366210938,187.63999938964844,164.20143127441406,130371700
2016-01-26,188.4199981689453,190.52999877929688,188.02000427246094,190.1999969482422,166.44166564941406,141036800
2016-01-27,189.5800018310547,191.55999755859375,187.05999755859375,188.1300048828125,164.6302032470703,185681700
2016-01-28,189.9600067138672,190.1999969482422,187.16000366210938,189.11000061035156,165.4878387451172,143798800
2016-01-29,190.02000427246094,193.8800048828125,189.8800048828125,193.72000122070312,169.52198791503906,210529300
2016-02-01,192.52999877929688,194.5800018310547,191.83999633789062,193.64999389648438,169.460693359375,136061600
2016-02-02,191.9600067138672,191.97000122070312,189.5399932861328,190.16000366210938,166.40664672851562,182564900
2016-02-03,191.41000366210938,191.77999877929688,187.10000610351562,191.3000030517578,167.4042510986328,205054900
2016-02-04,190.7100067138672,192.75,189.9600067138672,191.60000610351562,167.66680908203125,139531800
2016-02-05,190.99000549316406,191.6699981689453,187.1999969482422,187.9499969482422,164.4727325439453,180788300
2016-02-08,185.77000427246094,186.1199951171875,182.8000030517578,185.4199981689453,162.2587432861328,191526700
2016-02-09,183.36000061035156,186.94000244140625,183.1999969482422,185.42999267578125,162.26747131347656,184513100
2016-02-10,186.41000366210938,188.33999633789062,185.1199951171875,185.27000427246094,162.1274871826172,148214100
2016-02-11,182.33999633789062,184.10000610351562,181.08999633789062,182.86000061035156,160.0185089111328,219058900
2016-02-12,184.9600067138672,186.64999389648438,183.9600067138672,186.6300048828125,163.31761169433594,127632400
2016-02-16,188.77000427246094,189.80999755859375,187.6300048828125,189.77999877929688,166.07411193847656,120250700
2016-02-17,191.16000366210938,193.32000732421875,191.00999450683594,192.8800048828125,168.7869110107422,136009500
2016-02-18,193.1999969482422,193.27000427246094,191.72000122070312,192.08999633789062,168.09561157226562,102343000
2016-02-19,191.1699981689453,192.17999267578125,190.4499969482422,192.0,168.0167999267578,114793000
2016-02-22,193.8699951171875,194.9499969482422,193.7899932861328,194.77999877929688,170.44952392578125,103640300
2016-02-23,194.0,194.32000732421875,192.17999267578125,192.32000732421875,168.296875,111455300
2016-02-24,190.6300048828125,193.52999877929688,189.32000732421875,193.1999969482422,169.06689453125,150812200
2016-02-25,193.72999572753906,195.5500030517578,192.8300018310547,195.5399932861328,171.11465454101562,110728300
2016-02-26,196.57000732421875,196.67999267578125,194.89999389648438,195.08999633789062,170.72085571289062,129833700
2016-02-29,195.11000061035156,196.22999572753906,193.3300018310547,193.55999755859375,169.3819580078125,125918100
2016-03-01,195.00999450683594,198.2100067138672,194.4499969482422,198.11000061035156,173.3635711669922,141799700
2016-03-02,197.74000549316406,199.05999755859375,197.25,199.0,174.14244079589844,102415000
2016-03-03,198.7899932861328,199.8000030517578,198.11000061035156,199.77999877929688,174.8249969482422,95172200
2016-03-04,200.00999450683594,201.35000610351562,199.02999877929688,200.42999267578125,175.393798828125,129293600
2016-03-07,199.33999633789062,201.07000732421875,199.25,200.58999633789062,175.5338134765625,100219000
2016-03-08,199.32000732421875,199.9199981689453,198.2100067138672,198.39999389648438,173.6173858642578,123974900
2016-03-09,199.36000061035156,199.7899932861328,198.42999267578125,199.3800048828125,174.47496032714844,94801200
2016-03-10,199.9600067138672,201.07000732421875,197.3800048828125,199.5399932861328,174.61497497558594,156838700
2016-03-11,201.25999450683594,202.80999755859375,199.52000427246094,202.75999450683594,177.43275451660156,137964500
2016-03-14,202.16000366210938,203.0399932861328,201.77000427246094,202.5,177.2052459716797,73612000
2016-03-15,201.36000061035156,202.52999877929688,201.0500030517578,202.1699981689453,176.9164581298828,93169100
2016-03-16,201.60000610351562,203.82000732421875,201.5500030517578,203.33999633789062,177.94033813476562,129303200
2016-03-17,203.24000549316406,205.22999572753906,202.77000427246094,204.6300048828125,179.06922912597656,134278500
2016-03-18,204.1699981689453,204.77999877929688,203.8000030517578,204.3800048828125,179.77285766601562,138372400
2016-03-21,204.07000732421875,204.94000244140625,203.8000030517578,204.6699981689453,180.02792358398438,72926700
2016-03-22,203.75999450683594,205.22999572753906,203.57000732421875,204.55999755859375,179.9311981201172,97471900
2016-03-23,204.11000061035156,204.3300018310547,203.00999450683594,203.2100067138672,178.74374389648438,81052500
2016-03-24,202.0,203.16000366210938,201.74000549316406,203.1199951171875,178.66458129882812,84360900
2016-03-28,203.61000061035156,203.86000061035156,202.7100067138672,203.24000549316406,178.77003479003906,62408200
2016-03-29,202.75999450683594,205.25,202.39999389648438,205.1199951171875,180.42373657226562,92922900
2016-03-30,206.3000030517578,206.8699951171875,205.58999633789062,206.02000427246094,181.21539306640625,86365300
2016-03-31,205.91000366210938,206.41000366210938,205.3300018310547,205.52000427246094,180.775634765625,94584100
2016-04-01,204.35000610351562,207.13999938964844,203.97999572753906,206.9199981689453,182.0070343017578,114423500
2016-04-04,206.8300018310547,207.07000732421875,205.88999938964844,206.25,181.417724609375,63497000
2016-04-05,204.6699981689453,206.25999450683594,203.88999938964844,204.19000244140625,179.60572814941406,99662200
2016-04-06,204.19000244140625,206.49000549316406,203.97999572753906,206.4199981689453,181.56719970703125,91839800
2016-04-07,205.13999938964844,205.55999755859375,203.08999633789062,203.9499969482422,179.39459228515625,113859000
2016-04-08,205.33999633789062,205.85000610351562,203.8699951171875,204.5,179.87838745117188,95040600
2016-04-11,205.25,206.07000732421875,203.91000366210938,204.02000427246094,179.45619201660156,83757500
2016-04-12,204.22000122070312,206.25,203.6999969482422,205.9199981689453,181.1274871826172,115350600
2016-04-13,207.0,208.10000610351562,206.83999633789062,208.0,182.95703125,96336400
2016-04-14,208.07000732421875,208.60000610351562,207.60000610351562,208.00999450683594,182.96580505371094,65212900
2016-04-15,208.00999450683594,208.1699981689453,207.39999389648438,207.77999877929688,182.76351928710938,75761600
2016-04-18,207.77999877929688,209.27999877929688,207.0,209.24000549316406,184.04769897460938,82531000
2016-04-19,209.74000549316406,210.1999969482422,208.94000244140625,209.89999389648438,184.62823486328125,88316100
2016-04-20,209.9499969482422,210.9199981689453,209.38999938964844,210.10000610351562,184.80419921875,81100300
2016-04-21,210.1199951171875,210.25,208.64999389648438,208.97000122070312,183.81021118164062,85695000
2016-04-22,208.5500030517578,209.2899932861328,207.91000366210938,208.97000122070312,183.81021118164062,99251700
2016-04-25,208.25999450683594,208.66000366210938,207.5399932861328,208.61000061035156,183.4935302734375,66166500
2016-04-26,209.0399932861328,209.52000427246094,208.36000061035156,208.9199981689453,183.7662353515625,75864200
2016-04-27,208.47000122070312,209.80999755859375,208.0500030517578,209.35000610351562,184.14450073242188,77329400
2016-04-28,208.4600067138672,209.75999450683594,206.9600067138672,207.4499969482422,182.4732208251953,97216200
2016-04-29,206.72000122070312,207.1300048828125,205.02999877929688,206.3300018310547,181.4880828857422,142424100
2016-05-02,206.9199981689453,208.17999267578125,206.41000366210938,207.97000122070312,182.9306182861328,62188000
2016-05-03,206.52000427246094,206.8000030517578,205.27999877929688,206.16000366210938,181.3385467529297,106422100
2016-05-04,204.99000549316406,205.85000610351562,204.4199981689453,205.00999450683594,180.3270263671875,92243800
2016-05-05,205.55999755859375,205.97999572753906,204.47000122070312,204.97000122070312,180.29177856445312,67619200
2016-05-06,204.05999755859375,205.77000427246094,203.8800048828125,205.72000122070312,180.95152282714844,89315000
2016-05-09,205.57000732421875,206.39999389648438,205.36000061035156,205.88999938964844,181.10105895996094,74374900
2016-05-10,206.72000122070312,208.47000122070312,206.63999938964844,208.4499969482422,183.3528289794922,77472200
2016-05-11,207.91000366210938,208.5399932861328,206.5,206.5,181.63758850097656,81727000
2016-05-12,207.2899932861328,207.49000549316406,205.3699951171875,206.55999755859375,181.69039916992188,89586300
2016-05-13,206.2100067138672,206.86000061035156,204.3800048828125,204.75999450683594,180.10708618164062,96474600
2016-05-16,204.9600067138672,207.33999633789062,204.88999938964844,206.77999877929688,181.88392639160156,77486800
