Date,Open,High,Low,Close,Adj Close,Volume,Sector,Ticker,log_return,daily_return,volatility,momentum,Direction,MA_50,MA_100,MA_200
2016-01-01,,,,,,,Commodities,PPLT,,,,,0,,,
2016-01-02,,,,,,,Commodities,PPLT,,,,,0,,,
2016-01-03,,,,,,,Commodities,PPLT,,,,,0,,,
2016-01-04,85.87999725341797,86.04000091552734,84.91999816894531,85.29000091552734,85.29000091552734,13300.0,Commodities,PPLT,,,,,0,,,
2016-01-05,86.0,86.19000244140625,85.5999984741211,85.70999908447266,85.70999908447266,8600.0,Commodities,PPLT,0.004912269163799771,0.004924354138081011,,,1,,,
2016-01-06,84.5999984741211,85.05000305175781,84.30999755859375,84.8499984741211,84.8499984741211,9500.0,Commodities,PPLT,-0.01008452053212143,-0.010033842253387215,,,0,,,
2016-01-07,84.25,84.9000015258789,83.69999694824219,84.81999969482422,84.81999969482422,23700.0,Commodities,PPLT,-0.00035361324846121104,-0.00035355073466525333,,,0,,,
2016-01-08,85.05000305175781,85.19999694824219,84.5999984741211,85.0,85.0,10600.0,Commodities,PPLT,0.002119896041794321,0.0021221446100379016,,,1,,,
2016-01-09,84.25333658854167,84.35333251953125,83.50999959309895,83.8633321126302,83.8633321126302,50000.0,Commodities,PPLT,-0.013462781305862412,-0.013372563380821156,,,0,,,
2016-01-10,83.45667012532552,83.50666809082031,82.42000071207683,82.72666422526042,82.72666422526042,89400.0,Commodities,PPLT,-0.013646504017810956,-0.013553812598850912,,,0,,,
2016-01-11,82.66000366210938,82.66000366210938,81.33000183105469,81.58999633789062,81.58999633789062,128800.0,Commodities,PPLT,-0.013835310610227192,-0.01374004256082062,,,0,,,
2016-01-12,81.48999786376953,81.48999786376953,80.51000213623047,80.62999725341797,80.62999725341797,37100.0,Commodities,PPLT,-0.011835905923507077,-0.011766137119273656,,,0,,,
2016-01-13,81.30000305175781,82.38999938964844,81.30000305175781,81.88999938964844,81.88999938964844,16700.0,Commodities,PPLT,0.015506121195877872,0.01562696489087445,,,1,,,
2016-01-14,80.69999694824219,81.19000244140625,80.0999984741211,80.55999755859375,80.55999755859375,18100.0,Commodities,PPLT,-0.016374657723920466,-0.01624132178492621,,,0,,,
2016-01-15,81.0,81.13999938964844,79.5,79.97000122070312,79.97000122070312,29700.0,Commodities,PPLT,-0.007350638496554662,-0.007323688626746816,,,0,,,
2016-01-16,80.87249946594238,80.97749900817871,79.59749984741211,79.97500038146973,79.97500038146973,40850.0,Commodities,PPLT,6.251099713215611e-05,6.251295098524956e-05,,,1,,,
2016-01-17,80.74499893188477,80.81499862670898,79.69499969482422,79.97999954223633,79.97999954223633,52000.0,Commodities,PPLT,6.250708975174207e-05,6.250904336058127e-05,,,1,,,
2016-01-18,80.61749839782715,80.65249824523926,79.79249954223633,79.98499870300293,79.98499870300293,63150.0,Commodities,PPLT,6.250318285955833e-05,6.250513622418907e-05,,,1,,,
2016-01-19,80.48999786376953,80.48999786376953,79.88999938964844,79.98999786376953,79.98999786376953,74300.0,Commodities,PPLT,6.249927645582693e-05,6.2501229576295e-05,,,1,,,
2016-01-20,79.25,79.43000030517578,78.5999984741211,79.41000366210938,79.41000366210938,48900.0,Commodities,PPLT,-0.0072772491309162956,-0.007250834068628698,,,0,,,
2016-01-21,78.80000305175781,79.12999725341797,78.30000305175781,79.12999725341797,79.12999725341797,22800.0,Commodities,PPLT,-0.003532316112237197,-0.003526084822799369,,,0,,,
2016-01-22,80.6500015258789,81.06999969482422,79.9000015258789,80.19999694824219,80.19999694824219,15000.0,Commodities,PPLT,0.013431441909267485,0.01352204893167741,,,1,,,
2016-01-23,81.41666666666667,81.77999877929688,80.80333455403645,81.03666432698567,81.03666432698567,21433.333333333332,Commodities,PPLT,0.010378221450679738,0.010432261977309398,,,1,,,
2016-01-24,82.18333180745442,82.48999786376953,81.70666758219402,81.87333170572917,81.87333170572917,27866.666666666664,Commodities,PPLT,0.010271619363283831,0.010324553530085101,0.009636543390883275,-0.04005943455414074,1,,,
2016-01-25,82.94999694824219,83.19999694824219,82.61000061035156,82.70999908447266,82.70999908447266,34300.0,Commodities,PPLT,0.010167185000101142,0.010219046438108226,0.009905691338951868,-0.0350017504613821,1,,,
2016-01-26,83.70999908447266,84.61000061035156,83.55000305175781,84.61000061035156,84.61000061035156,37300.0,Commodities,PPLT,0.0227119675154245,0.022971847985857385,0.011124426392732572,-0.002828495793582464,1,,,
2016-01-27,84.73999786376953,85.19999694824219,84.37000274658203,84.94000244140625,84.94000244140625,27300.0,Commodities,PPLT,0.003892683477725952,0.003900269810591661,0.011159589960719193,0.001414793056045749,1,,,
2016-01-28,84.30000305175781,84.30999755859375,83.19000244140625,83.4800033569336,83.4800033569336,32400.0,Commodities,PPLT,-0.01733803120641166,-0.017188592447707984,0.011795409498249126,-0.01788231344784008,0,,,
2016-01-29,83.4000015258789,84.30000305175781,83.4000015258789,83.97000122070312,83.97000122070312,17700.0,Commodities,PPLT,0.005852484311415349,0.005869643556127624,0.011500072166801005,0.001271939778515696,1,,,
2016-01-30,83.56333414713542,84.30000305175781,83.47666676839192,83.95333353678386,83.95333353678386,18366.666666666668,Commodities,PPLT,-0.0001985153998766773,-0.0001984956969984797,0.011042556725718376,0.014827979866120167,0,,,
2016-01-31,83.72666676839192,84.30000305175781,83.55333201090495,83.93666585286458,83.93666585286458,19033.333333333332,Commodities,PPLT,-0.0001985548160656364,-0.00019853510536271823,0.010506637613707358,0.028761730853076983,0,,,
2016-02-01,83.88999938964844,84.30000305175781,83.62999725341797,83.91999816894531,83.91999816894531,19700.0,Commodities,PPLT,-0.00019859424790996056,-0.00019857452937765974,0.010047966690005797,0.04080368383477628,0,,,
2016-02-02,83.44999694824219,83.55000305175781,82.30000305175781,82.54000091552734,82.54000091552734,18400.0,Commodities,PPLT,-0.016580906852632468,-0.016444200232700212,0.010322469609613716,0.007937495795867333,0,,,
2016-02-03,83.16999816894531,84.94000244140625,83.16999816894531,84.94000244140625,84.94000244140625,26800.0,Commodities,PPLT,0.028662118211481232,0.029076829407054472,0.011385789806872127,0.05436947635986189,1,,,
2016-02-04,86.66999816894531,87.3499984741211,86.41000366210938,87.26000213623047,87.26000213623047,46500.0,Commodities,PPLT,0.026947038548834155,0.027313393314588374,0.012370643709711587,0.09115919475114453,1,,,
2016-02-05,86.73999786376953,88.0,86.58000183105469,87.91999816894531,87.91999816894531,38400.0,Commodities,PPLT,0.007535097092318714,0.007563557375170005,0.012344503703227316,0.09934351671871267,1,,,
2016-02-06,87.41999816894531,88.58666737874348,87.17000071207683,88.34666442871094,88.34666442871094,55466.66666666667,Commodities,PPLT,0.004841154723013258,0.004852892045627222,0.012293730321855295,0.10460946404552418,1,,,
2016-02-07,88.0999984741211,89.17333475748698,87.75999959309895,88.77333068847656,88.77333068847656,72533.33333333334,Commodities,PPLT,0.004817830813283254,0.004829455220801471,0.012237858636498455,0.10987475311597006,1,,,
2016-02-08,88.77999877929688,89.76000213623047,88.3499984741211,89.19999694824219,89.19999694824219,89600.0,Commodities,PPLT,0.004794730568142227,0.004806243682158096,0.012176892556120424,0.11513938405346824,1,,,
2016-02-09,90.0999984741211,90.48999786376952,89.30000305175781,89.8499984741211,89.8499984741211,138100.0,Commodities,PPLT,0.0072605908736221685,0.007287012871268095,0.011801685685964477,0.13146951681848584,1,,,
2016-02-10,90.08999633789062,90.26000213623048,89.30000305175781,90.19000244140624,90.19000244140624,52700.0,Commodities,PPLT,0.0037769870001518203,0.0037841288042210763,0.011593999770818595,0.1397700691504895,1,,,
2016-02-11,91.79000091552734,93.1999969482422,91.3499984741211,92.54000091552734,92.54000091552734,136300.0,Commodities,PPLT,0.025722410124962822,0.026056086157086433,0.012303417231356313,0.1538653919806119,1,,,
2016-02-12,92.12999725341795,92.43000030517578,91.86000061035156,92.1500015258789,92.1500015258789,61300.0,Commodities,PPLT,-0.0042232926976935176,-0.004214387138427145,0.012537885237085556,0.13713961811224795,0,,,
2016-02-13,91.72249794006346,91.94750022888184,91.30000114440918,91.55000114440918,91.55000114440918,60675.0,Commodities,PPLT,-0.006532417053581631,-0.006511127200591771,0.012830795390986966,0.11819073728989182,0,,,
2016-02-14,91.31499862670898,91.46500015258789,90.7400016784668,90.95000076293945,90.95000076293945,60050.0,Commodities,PPLT,-0.006575370268202586,-0.006553799824898898,0.013064443445398796,0.09962521786575262,0,,,
2016-02-15,90.90749931335449,90.98250007629395,90.18000221252441,90.35000038146973,90.35000038146973,59425.0,Commodities,PPLT,-0.006618892092319775,-0.006597035474838808,0.012568236238372207,0.06784067757607248,0,,,
2016-02-16,90.5,90.5,89.62000274658203,89.75,89.75,58800.0,Commodities,PPLT,-0.006662993891982295,-0.0066408453673098,0.012763963638674635,0.05662817777656426,0,,,
2016-02-17,90.5500030517578,91.5,90.5500030517578,90.86000061035156,90.86000061035156,20200.0,Commodities,PPLT,0.012291839680363563,0.0123676948228586,0.012012547536026043,0.0884043717854619,1,,,
2016-02-18,90.25,91.3499984741211,90.0999984741211,91.12000274658205,91.12000274658205,39200.0,Commodities,PPLT,0.002857482232646466,0.002861568726435504,0.012010856335990808,0.08514947507367743,1,,,
2016-02-19,90.8000030517578,91.5999984741211,90.62999725341795,90.83999633789062,90.83999633789062,34900.0,Commodities,PPLT,-0.003077672357882921,-0.0030729411792288497,0.01208276413355387,0.08202965279620966,0,,,
2016-02-20,90.11666870117186,90.96333312988281,89.95333099365233,90.33333079020183,90.33333079020183,37933.333333333336,Commodities,PPLT,-0.0055931728646717695,-0.005577560195006992,0.012240406541960212,0.07620823238976615,0,,,
2016-02-21,89.43333435058594,90.32666778564453,89.27666473388672,89.82666524251302,89.82666524251302,40966.666666666664,Commodities,PPLT,-0.0056246324889582195,-0.005608843859256529,0.012391105426593312,0.07038449955249737,0,,,
2016-02-22,88.75,89.69000244140625,88.5999984741211,89.31999969482422,89.31999969482422,44000.0,Commodities,PPLT,-0.005656448014584915,-0.005640480433297901,0.011692659431273147,0.08214197606122675,0,85.37219955444336,,
2016-02-23,89.94000244140625,91.0999984741211,89.8499984741211,90.87999725341795,90.87999725341795,60700.0,Commodities,PPLT,0.017314501195466757,0.017465266053780848,0.010622259105354739,0.06993165341747276,1,85.48399948120117,,
