Date,Open,High,Low,Close,Adj Close,Volume,Sector,Ticker,log_return,daily_return,volatility,momentum,Direction,MA_50,MA_100,MA_200
2016-01-01,,,,,,,Technology,HACK,,,,,0,,,
2016-01-02,,,,,,,Technology,HACK,,,,,0,,,
2016-01-03,,,,,,,Technology,HACK,,,,,0,,,
2016-01-04,25.5,25.575000762939453,25.1299991607666,25.36000061035156,24.34346008300781,395900.0,Technology,HACK,,,,,0,,,
2016-01-05,25.32999992370605,25.5,25.13999938964844,25.209999084472656,24.199472427368164,304300.0,Technology,HACK,-0.0059324487527265815,-0.005914886524792662,,,0,,,
2016-01-06,24.850000381469727,25.09000015258789,24.700000762939453,24.82999992370605,23.83470726013184,552100.0,Technology,HACK,-0.01518810843636548,-0.015073350835647314,,,0,,,
2016-01-07,24.34000015258789,24.770000457763672,24.170000076293945,24.209999084472656,23.23955535888672,749600.0,Technology,HACK,-0.025286863313538733,-0.024969828479196154,,,0,,,
2016-01-08,24.18400001525879,24.596000289916994,23.979999923706053,24.091999435424803,23.12628631591797,664680.0,Technology,HACK,-0.004885921386545786,-0.0048740046885641375,,,0,,,
2016-01-09,24.027999877929688,24.422000122070315,23.78999977111816,23.973999786376954,23.01301727294922,579760.0,Technology,HACK,-0.004909910873044076,-0.004897876963849801,,,0,,,
2016-01-10,23.871999740600586,24.247999954223637,23.599999618530273,23.8560001373291,22.899748229980467,494840.0,Technology,HACK,-0.004934137095326601,-0.004921984237061028,,,0,,,
2016-01-11,23.715999603271484,24.07399978637696,23.40999946594238,23.73800048828125,22.786479187011718,409920.0,Technology,HACK,-0.004958603575051119,-0.0049463299953292905,,,0,,,
2016-01-12,23.559999465942383,23.89999961853028,23.21999931335449,23.6200008392334,22.67321014404297,325000.0,Technology,HACK,-0.0049833139040747435,-0.004970917795123708,,,0,,,
2016-01-13,24.01000022888184,24.299999237060547,23.239999771118164,23.36000061035156,22.423633575439453,643500.0,Technology,HACK,-0.011068662211752903,-0.011007629959520315,,,0,,,
2016-01-14,23.309999465942383,23.940000534057617,22.920000076293945,23.780000686645508,22.826793670654297,379300.0,Technology,HACK,0.017819736049462388,0.01797945485103436,,,1,,,
2016-01-15,22.979999542236328,23.31800079345703,22.67200088500977,23.18000030517578,22.250843048095703,528600.0,Technology,HACK,-0.02555506906046795,-0.025231302108694953,,,0,,,
2016-01-16,23.10249948501587,23.37700080871582,22.629000663757328,23.0600004196167,22.135653495788574,512800.0,Technology,HACK,-0.005190318039436197,-0.005176871612563638,,,0,,,
2016-01-17,23.22499942779541,23.43600082397461,22.586000442504883,22.940000534057617,22.020463943481445,497000.0,Technology,HACK,-0.00521739805579452,-0.005203811074391829,,,0,,,
