Date,Open,High,Low,Close,Adj Close,Volume,Sector,Ticker,log_return,daily_return,volatility,momentum,Direction,MA_50,MA_100,MA_200
2018-01-02,64.22000122070312,65.68000030517578,64.22000122070312,65.58000183105469,62.28721618652344,67600,Healthcare,PJP,0.021735016109444564,0.02197294222133439,0.15254265047503948,0.02180837410423697,1,63.482399978637694,63.809999771118164,62.26414981842041
2018-01-03,65.80999755859375,66.44000244140625,65.51000213623047,66.31999969482422,62.99007797241211,75900,Healthcare,PJP,0.01122070688804147,0.011283895137360611,0.15586446993813974,0.03243929419526381,1,63.489599990844724,63.87549976348877,62.29569982528687
2018-01-04,66.5,66.5199966430664,65.75,66.04000091552734,62.72412109375,50400,Healthcare,PJP,-0.004230873310323092,-0.004221935774808672,0.15420918787978613,0.027197346538231137,0,63.50219993591308,63.93419979095459,62.33034982681274
2018-01-05,66.2699966430664,66.5999984741211,65.94999694824219,66.56999969482422,63.227516174316406,115000,Healthcare,PJP,0.0079933881131767,0.008025420532243865,0.15388059141402205,0.03458100640300521,1,63.53319999694824,63.995499801635745,62.36829982757568
2018-01-08,66.54000091552734,66.56999969482422,65.30000305175781,65.86000061035156,62.55316162109375,130400,Healthcare,PJP,-0.010722734812701064,-0.010665451220181699,0.15320821910918878,0.022803170603522327,0,63.56040000915527,64.04799980163574,62.40604982376099
2018-01-09,65.9800033569336,67.04000091552734,65.9800033569336,66.80000305175781,63.44596862792969,66100,Healthcare,PJP,0.014171840011968837,0.014272736603323066,0.1583515741955446,0.03652675471747102,1,63.636000061035155,64.10459983825683,62.448149833679196
2018-01-10,66.4800033569336,66.9000015258789,66.05999755859375,66.87999725341797,63.52195358276367,165000,Healthcare,PJP,0.0011968014815340491,0.0011975179342158526,0.14842904682894004,0.037193994885122095,1,63.71779998779297,64.17009979248047,62.49054981231689
2018-01-11,66.87999725341797,67.62999725341797,66.87000274658203,67.62999725341797,64.23430633544922,67800,Healthcare,PJP,0.011151703265828901,0.011214115293069593,0.15117288400187892,0.048129868439083845,1,63.82059989929199,64.24479976654052,62.53609979629517
2018-01-12,67.63999938964844,68.16999816894531,67.63999938964844,67.94000244140625,64.52872467041016,69300,Healthcare,PJP,0.004573367692218429,0.004583841499012031,0.14918984188945056,0.05212628335815883,1,63.93019996643066,64.3222998046875,62.57804981231689
2018-01-16,68.04000091552734,68.69000244140625,67.55999755859375,67.62000274658203,64.22480010986328,76700,Healthcare,PJP,-0.00472116076954379,-0.0047100336079646254,0.1496173622282653,0.04650627404464713,0,64.025,64.3868998336792,62.61789981842041
2018-01-17,67.77999877929688,68.73999786376953,67.7300033569336,68.54000091552734,65.09860229492188,39900,Healthcare,PJP,0.013513691906391581,0.013605414545651007,0.14002969557301628,0.060057206522174944,1,64.15120002746582,64.46429985046387,62.663299827575685
2018-01-18,68.37000274658203,68.37000274658203,67.55999755859375,68.20999908447266,64.78517150878906,44000,Healthcare,PJP,-0.00482636155958396,-0.004814733391401593,0.13930872226182445,0.054371691013435086,0,64.25879997253418,64.53349983215332,62.70884983062744
2018-01-19,68.61000061035156,68.69999694824219,68.27999877929688,68.66000366210938,65.21258544921875,37700,Healthcare,PJP,0.00657567312197149,0.0065973403265908726,0.13919860667362416,0.060810300056292954,1,64.37460006713867,64.60939987182617,62.760249843597414
2018-01-22,68.56999969482422,69.5,68.56999969482422,69.44000244140625,65.95343780517578,45200,Healthcare,PJP,0.011296264144181438,0.01136030786038722,0.1404047599647013,0.07229814544337176,1,64.51820014953613,64.68619991302491,62.81629985809326
