Date,BNO,BOTZ,CORN,GLD,HACK,IHI,KBE,KIE,KRE,PALL,PJP,PPLT,QQQ,SKYY,SLV,SMH,SOYB,SPY,UNG,USO,WEAT,XBI,XLF,XLV
2018-01-02,0.0,1.2658195249076298,0.4770418695428269,1.2131014811884722,1.6434907326003056,1.5906832652498482,0.27461146534899505,-1.27036249936473,0.2548879010504601,2.855729994420919,2.197294222133439,1.7859181748094644,1.7527035712679773,0.806449266065723,1.3758556379210418,2.6173246619852764,0.391507860506235,0.7157325065401343,3.0874838341568456,0.4995792239711916,1.3333320617675781,2.7571536021717247,0.035830272076342595,1.124818942601724
2018-01-03,1.9337037242719957,2.0416657129923577,-0.05934853801448092,-0.2636850395774437,0.9950239314132636,1.0552041274303203,0.21065614398485533,0.16496583731504533,0.1864417124602724,-0.9765406154792489,1.1283895137360611,1.3881176653392613,0.9716658670942069,1.1243253140836185,-0.24675515384220414,1.4147635051187324,0.38997042812802807,0.6325156366117746,-1.663899794698187,2.236954967608251,0.164477450778322,1.3301269055005838,0.5372479159039711,0.95682698949624
2018-01-04,0.1625950030155643,1.4291563280555586,-0.35629136222521396,0.512737855482448,0.4618273645104143,0.0,0.6726922364454824,1.0210785892958318,0.5413630375909362,1.3922483197887026,-0.42219357748086717,0.7228871967733808,0.174966432189394,0.49176724392814286,0.3710542093957381,0.5108523807735743,-0.33297098649720525,0.4214826508353253,-4.060909937641655,0.2431096645075792,-0.3284069035370152,-1.1542426623952884,0.9262566145655349,0.1421574599947073
2018-01-05,-0.3246724427955372,1.127216928041519,-0.11919223447701688,-0.10361649479245783,0.2758202563340806,1.1396164414329224,0.5637929864372282,0.1630232700885692,0.6562331947598476,-0.448175081904878,0.8025420532243865,0.4675949428629256,1.0043045567155628,0.40425239725314643,-0.06161570649346748,0.645101825685579,0.2784028227061919,0.66640704458234,-2.6455042918707705,-0.4850401495348988,-0.8237263479545898,-0.35489131540807906,0.28238589453406515,0.8517700592697297
2018-01-08,0.2171498806353922,0.7165541075381698,-1.0739874863819776,-0.015961279955833962,0.8862991748502358,0.5717154722838069,-0.041529189840194825,-0.32551587355543754,-0.18388600954988288,0.5747111737085309,-1.0665451220181699,0.3788272285239369,0.3890840476388657,0.6145389361448483,-0.43156410473201845,0.6895203224780655,-0.7218271319439418,0.18286883748257488,0.9963737052294697,0.5686408808944554,-0.33222559783855354,-1.9875957476293782,-0.14079200420114013,-0.3636334998167179
2018-01-09,1.3001174992943065,0.3162052415751404,0.542823600736031,-0.46284750854692636,-0.21205603872617163,0.9382399278856202,1.3086852432547147,0.16328946992216764,1.3565590114062775,0.2857171921502921,1.4272736603323066,-0.6901007164012984,0.00614857376086686,-0.2106117840884547,-0.7430274595615516,-0.9355721622762214,0.16778908307411022,0.2263416642797056,4.4843050861548495,1.5347300373743433,0.9999990463256836,2.555386669280457,0.7754645993885534,1.1773015908373985
2018-01-10,0.4812842188020472,0.6304245864912295,0.11997875028275651,0.2405158456580736,-0.2428598047741204,-0.3007288827127197,1.3532906319812188,0.22823506569966678,1.2227327464843007,-1.6999058534190925,0.11975179342158526,0.4668841610204977,-0.23376284972908,-0.3165924915519924,-0.062384456977393477,-1.3241170504081579,-1.1166988533969913,-0.15298805808321436,-1.3304698544766569,0.8751043199854092,0.8250856634815396,1.2572848336719566,0.839453549623137,-0.17454214756530417
2018-01-11,0.10643187568188939,0.9005463351275722,0.05991748688940479,0.3279242310744168,0.9738274159478033,0.5319739169598492,1.294759024270986,0.8783359133833102,1.5670958626723852,-0.009662965920254063,1.1214115293069593,1.3184926367642902,0.6844251205329499,0.6775348251656377,-0.062423399476185804,0.4736096340999474,-0.3387886450823552,0.7296074841767641,6.133100745757569,0.1577247918613578,-0.491001786461398,0.6208410367916084,0.48560315649990304,0.43128889454886465
2018-01-12,0.8506105898716365,1.5909966632871697,-0.5389230447678695,1.2117319941670202,0.6329086273091367,0.1254723473879782,0.5791909672356654,0.2579810484217404,0.6268071070346881,3.5072437231091325,0.45838414990120313,1.1306640625000197,0.7348963539538289,0.6519482192744119,1.6239864157703066,0.5106517074694006,1.0198317794114953,0.6518971252997829,3.606561810955622,1.3385832980085777,-2.6315764707210976,0.5384825669960014,0.8974809632183334,0.7660120759779954
2018-01-16,-0.685288168013165,1.6424763184237579,0.3612249472464857,0.16540570729914883,-1.4974543550156816,-0.3160063274840863,-0.7942841958518243,-0.5467998567372012,-0.9583170148047548,-2.230933866258622,-0.47100336079646254,0.4324477087513712,-0.2857323879915996,-0.5850371410908717,-0.12292844007959491,0.4592097974695841,0.9534496748254018,-0.34182936137424624,-2.6898745518428746,-0.8546981946804366,-0.6756750225933805,-3.1019932196971856,-0.27369115620564655,0.49527793905466133
2018-01-17,-0.05307977070513337,1.4280313868868522,0.8998177435139088,-0.8099385028916495,0.7297101943466,1.0002133569988025,0.540433272040608,0.9702433257448462,0.6128061254652151,1.852207829839303,1.3605414545651007,0.08401788492864437,1.079129964374137,0.8196708168134004,-1.1692340557391878,2.9858001399884815,0.11111365424261166,0.953166089910118,4.065040587370339,0.15673592265372793,1.190470977242053,1.3588212286242518,0.7547211786694819,0.962746519072355
